Language,Title
en,Numeral (linguistics)
af,Telwoord
gsw,Zahlwort
ar,الرقم الرقمي (لسانيات)
ast,Numberal (llingüística)
az,Say
ban,Kruna wilangan
ba,Һан (һүҙ төркөмө)
be,Лічэбнік
be-tarask,Лічэбнік
bi,Namba
bg,Числително име
bs,Brojevi (vrsta riječi)
ca,Numeral
cv,Хисеп ячĕ
cs,Číslovka
tum,Chipendero (mu kasanthuro ka chiyowoyero)
da,Talord
se,Lohkosánit
de,Zahlwort
et,Arvsõna
el,Αριθμητικά
es,Numeral (lingüística)
eo,Nombrovorto
fa,عددنویسه
fo,Talorð
fr,Numéral
fy,Telwurd
gl,Numeral
inh,Таьрахьдош
ko,수사 (품사)
hy,Թվական անուն
hr,Brojevi (vrsta riječi)
id,Numeralia
os,Нымæцон
is,Töluorð
it,Numerale
he,שמות מספרים
jv,Tembung wilangan
ka,რიცხვითი სახელი
kk,Сан есім
ky,Сан атооч
la,Nomen numerale
lv,Skaitļa vārds
lt,Skaitvardis
li,Tèlwoord
hu,Számnév
mwl,Numeral
mn,Тооны нэр
nl,Telwoord
ja,数詞
nb,Tallord
nn,Talord
mhr,Чотмут
uz,Son (tilshunoslik)
koi,Лыдним
pl,Liczebnik
pt,Numeral (linguística)
ro,Numeral
rue,Чісловникы
ru,Имя числительное
sah,Ахсаан аат
sq,Numërori
sk,Číslovka
sl,Števnik
ckb,وشارە
sr,Број (врста речи)
fi,Numeraali
sv,Räkneord
tt,Сан (сүз төркеме)
tg,Шумора
uk,Числівник
ug,مىقدار سۆز
vi,Số từ
wuu,数词
yue,數詞
diq,Amari
zh,數詞
