Language,Title
en,Numeral system
gsw,Zahlensystem
ar,نظام عد
az,Say sistemləri
bn,সংখ্যাপদ্ধতি
nan,Sò͘-jī
be,Сістэма злічэння
be-tarask,Сыстэма зьлічэньня
bg,Бройна система
bs,Brojevni sistem
ca,Sistema de numeració
cv,Шут тытăмĕ
cs,Číselná soustava
sn,Tsika yekurava nhamba
da,Talsystem
de,Zahlensystem
et,Arvusüsteem
es,Sistema de numeración
eo,Nombrosistemo
eu,Zenbaki-sistema
fa,دستگاه شمارش
fr,Système de numération
gl,Sistema de numeración
ko,기수법
hy,Հաշվարկման համակարգ (մաթեմատիկա)
hi,संख्या पद्धतियाँ
hr,Brojevni sustav
io,Nombrosistemo
id,Sistem bilangan
is,Talnakerfi
it,Sistema di numerazione
he,שיטת ספירה
jv,Sistem wilangan
ka,თვლის სისტემა
kk,Санау жүйесі
ht,Sistèm nimewotasyon
ky,Эсептөө тутуму
la,Systema numerale
lv,Skaitīšanas sistēma
hu,Számrendszer
mk,Броен систем
ml,സംഖ്യാസമ്പ്രദായങ്ങൾ
ms,Sistem angka
mwl,Sistema de numeraçon
my,ဂဏန်းခြေ
nl,Talstelsel
ja,命数法
nb,Tallsystem
oc,Sistèma de numeracion
mhr,Чотрадам системе
uz,Sanoq sistemasi
pa,ਸੰਖਿਆ ਪ੍ਰਣਾਲੀ
pnb,عددی نظام
pl,System liczbowy
pt,Sistema de numeração
ro,Sistem de numerație
ru,Система счисления
nso,Lebadi
si,සංඛ්‍යාත පද්ධති
en-simple,Numeral system
sk,Číselná sústava
sl,Številski sistem
ckb,سیستمی ژماراڵ
sr,Бројевни систем
sh,Brojevni sistem
fi,Lukujärjestelmä
sv,Talsystem
tl,Numerasyon
ta,எண்குறி முறைமை
te,తెలుగు
th,ระบบเลข
tr,Sayısal sistem
uk,Система числення
ur,عددی نظام
vi,Hệ đếm
lzh,表數法
war,Sistema pag-ihap
wuu,记数系统
yi,נומערן סיסטעם
yue,記數法
zh,记数系统
