Language,Title
en,Operator (mathematics)
ar,مؤثر
bg,Оператор (математика)
ca,Operador matemàtic
cv,Оператор (математика)
cs,Operátor
de,Operator (Mathematik)
et,Operaator (matemaatika)
el,Τελεστής (μαθηματικά)
es,Operador
eu,Eragile (matematika)
fa,عملگر (ریاضیات)
fr,Opérateur (mathématiques)
ko,연산자
hy,Օպերատոր (մաթեմատիկա)
id,Operator (matematika)
is,Virki (stærðfræði)
it,Operatore (matematica)
he,אופרטור
kk,Оператор (математика)
nl,Operator (wiskunde)
ja,作用素
nn,Operator i matematikk
pt,Operador (matemática)
ro,Operator (matematică)
ru,Оператор (математика)
en-simple,Operator
sl,Operator (matematika)
fi,Operaattori (matematiikka)
sv,Operator
uk,Оператор (математика)
vec,Operator matemàtico
vi,Toán tử
yue,算子
zh,算子
