Language,Title
en,Or (logic)
ar,فصل منطقي
az,Dizyunksiya
bg,Дизюнкция
bs,Disjunkcija sudova
ca,Disjunció
cs,Disjunkce
da,Disjunktion
de,Disjunktion
et,Disjunktsioon
el,Λογική διάζευξη
egl,Diśgiunsiòun lògica
es,Disyunción lógica
eo,Logika aŭo
eu,Disjuntzio logiko
fa,فصل منطقی
fr,Disjonction logique
ko,논리합
hy,Դիզյունկցիա
id,Logika disjungsi
it,Disgiunzione logica
he,או (לוגיקה)
kk,Дизъюнкция
lt,Disjunkcija
hu,Diszjunkció
mk,Логичка дисјункција
nl,Logische disjunctie
ja,論理和
nb,Inklusiv disjunksjon
pms,Disgionsion
pl,Alternatywa
pt,Disjunção lógica
ro,Disjuncție logică
rue,Дізъюнкція
ru,Дизъюнкция
en-simple,Inclusive disjunction
sk,Disjunkcia (výroková spojka)
sl,Disjunkcija
sr,Дисјункција
sh,Disjunkcija sudova
fi,Disjunktio
sv,Disjunktion
th,การเลือกเชิงตรรกศาสตร์
uk,Диз'юнкція (логіка)
yue,邏輯或
zh,逻辑或
