Language,Title
en,Order of operations
ar,ترتيب العمليات الحسابية
nan,Ián-sǹg sūn-sū
be,Прыярытэт арыфметычных аперацый
ca,Ordre de les operacions
cs,Priorita početních operací
da,Regnearternes hierarki
de,Operatorrangfolge
el,Προτεραιότητα πράξεων
es,Orden de evaluación
eo,Rango de operacioj
eu,Eragiketen hierarkia
fa,اولویت عملگرها
fr,Ordre des opérations
gl,Xerarquía das operacións
gu,ભાગુસબા નો નિયમ
ko,연산의 우선순위
id,Urutan operasi
is,Framkvæmdaröð reiknivirkja
it,Ordine delle operazioni
he,קדימות אופרטורים
mr,कंचेभागुबेव क्रिया क्रम
ms,Urutan pengiraan
nl,Bewerkingsvolgorde
ja,演算子の優先順位
nb,Regnerekkefølge
pl,Kolejność wykonywania działań
pt,Ordem de operações
ro,Ordinea operațiilor
ru,Приоритет операции
sq,Radha e veprimeve matematikore
en-simple,Order of operations
sr,Редослед операција
fi,Laskujärjestys
sv,Operatorprioritet
tl,Ayos ng operasyon
ta,செயலியை அமல்படுத்தும் வரிசை முறை
th,ลำดับการดำเนินการ
tr,İşlem sırası
uk,Черговість операцій
vi,Độ ưu tiên của toán tử
zh,運算次序
