Language,Title
en,Paradox
gsw,Paradoxon
ar,مفارقة
as,বিৰোধাভাস
ast,Paradoxa
az,Paradoks
bn,কূটাভাস
be-tarask,Парадокс
bg,Парадокс
bs,Paradoks
ca,Paradoxa
cs,Paradox
cy,Paradocs
da,Paradoks
de,Paradoxon
et,Paradoks
el,Παράδοξο
es,Paradoja
eo,Paradokso
eu,Paradoxa
fa,پارادوکس
fr,Paradoxe
ga,Paradacsa
gl,Paradoxo
ko,역설
hy,Պարադոքս
hi,परोक्षक
hr,Paradoks
io,Paradoxo
id,Paradoks
ia,Paradoxo
is,Þverstæða
it,Paradosso
he,פרדוקס
ka,პარადოქსი
kk,Парадокс
sw,Kweli kinzani
ky,Парадокс
la,Paradoxum
lv,Paradokss
lt,Paradoksas
hu,Paradoxon
xmf,პარადოქსი
ms,Paradoks
nl,Paradox (logica)
ja,パラドックス
nb,Paradoks
uz,Paradoks
pa,ਪੈਰਾਡੌਕਸ
pl,Paradoks
pt,Paradoxo
ro,Paradox
ru,Парадокс
sq,Paradoksi
en-simple,Paradox
sk,Paradox (výpoveď)
sl,Paradoks
ckb,پارادۆکس
sr,Парадокс
sh,Paradoks
su,Paradoks
fi,Paradoksi
sv,Paradox
ta,முரண்போலி
th,ปฏิทรรศน์
tr,Paradoks
tk,Paradoks
uk,Парадокс
ur,متناقضہ
vi,Nghịch lý
vro,Vastaossus
war,Paradoks
wuu,悖论
yue,悖論
diq,Paradoks
zh,悖论
