Language,Title
ar,مشتق جزئي
ast,Derivada parcial
az,Xüsusi törəmə
ba,Айырым сығарылма
be,Частковая вытворная
bg,Частна производна
ca,Derivada parcial
cv,Харпăр тăхăм
cs,Parciální derivace
de,Partielle Ableitung
et,Osatuletis
es,Derivada parcial
eo,Parta derivaĵo
eu,Deribatu partzial
fa,مشتق جزئی
fr,Dérivée partielle
gl,Derivada parcial
ko,편미분
hi,आंशिक अवकलज
id,Turunan parsial
is,Hlutafleiða
it,Derivata parziale
he,נגזרת חלקית
kk,Дербес туынды
ky,Айрым туунду
lt,Dalinė išvestinė
hu,Parciális derivált
nl,Partiële afgeleide
ja,偏微分
nb,Partiell derivasjon
nn,Partiell derivasjon
pl,Pochodna cząstkowa
pt,Derivada parcial
ro,Derivată parțială
ru,Частная производная
sq,Derivati pjesor
en-simple,Partial derivative
sk,Parciálna derivácia
sl,Parcialni odvod
ckb,بەشە گرتە
sr,Парцијални извод
fi,Osittaisderivaatta
sv,Partiell derivata
tl,Parsiyal na deribatibo
ta,பகுதி வகைக்கெழு
tr,Kısmi türev
uk,Часткова похідна
vi,Đạo hàm riêng
lzh,偏導數
yue,偏導數
zh,偏导数
