Language,Title
ar,تحليل كسري جزئي
ca,Descomposició en fraccions parcials
cs,Rozklad na parciální zlomky
de,Partialbruchzerlegung
es,Descomposición en fracciones simples
eu,Frakzio sinpletako deskonposaketa
fr,Décomposition en éléments simples
ko,부분분수
hi,आंशिक भिन्न
it,Decomposizione in fratti semplici
he,פירוק לשברים חלקיים
nl,Breuksplitsing
ja,部分分数分解
pl,Ułamki proste
pt,Decomposição em frações parciais
ru,Разложение рациональной дроби на простейшие
sq,Zbërthimi i pjesshëm në thyesa
en-simple,Partial fraction decomposition
fi,Osamurtokehitelmä
sv,Partialbråksuppdelning
tl,Integrasyon gamit ang parsiyal na praksiyon
ta,பகுதிப் பின்னங்களாகப் பிரித்தல்
uk,Розкладання на прості дроби
zh,部分分式分解
