Language,Title
en,Place value
ar,دلالة موضعية
ast,Notación posicional
nan,Ūi-tì kì-siàu-hoat
ca,Notació posicional
sn,Tsika yezvinzvimbo zvenhamba
de,Stellenwertsystem
es,Notación posicional
eu,Kokapen-notazio
fa,ارزش مکانی
fr,Notation positionnelle
gl,Notación posicional
ko,위치 기수법
hi,स्थानिक मान
id,Notasi posisional
it,Notazione posizionale
ka,პოზიციური კოდი
la,Notatio positionalis
lv,Pozicionāls skaitļu pieraksts
hu,Helyiérték
nl,Positiestelsel
ja,位取り記数法
pt,Notação posicional
ru,Позиционная нотация
en-simple,Place value
sr,Poziciona notacija
fi,Paikkamerkintä
sv,Positionssystem
ta,இடஞ்சார் குறியீடு
tr,Basamak (matematik)
uk,Позиційна нотація
ur,محلی ترقیم
yue,進位制
zh,进位制
