Language,Title
en,Portal:Philosophy
am,በር:ፍልስፍና
ar,بوابة:فلسفة
gn,Okẽndusu:Arandupykuaaty
az,Portal:Fəlsəfə
azb,پوْرتال:فلسفه
bn,প্রবেশদ্বার:দর্শন
nan,Portal:Tiat-ha̍k
ba,Портал:Философия
be-tarask,Партал:Філязофія
bg,Портал:Философия
br,Porched:Prederouriezh
ca,Portal:Filosofia
ceb,Ganghaan:Pilosopiya
cs,Portál:Filozofie
ary,قيسارية:فلسفة
de,Portal:Philosophie
dv,ނެރު:ފަލްސަފާ
et,Portaal:Filosoofia
es,Portal:Filosofía
fa,درگاه:فلسفه
fr,Portail:Philosophie
ko,포털:철학
hi,प्रवेशद्वार:दर्शनशास्त्र
id,Portal:Filsafat
is,Gátt:Heimspeki
it,Portale:Filosofia
he,פורטל:פילוסופיה
pam,Portal:Philosophy
lb,Portal:Philosophie
lt,Vikisritis:Filosofija
hu,Portál:Filozófia
mk,Портал:Филозофија
ms,Portal:Falsafah
nl,Portaal:Filosofie
ja,Portal:哲学
ce,Ков:Философи
ps,تانبه:فلسفه
pl,Portal:Filozofia
pt,Portal:Filosofia
ro,Portal:Filozofie
ru,Портал:Философия
sq,Portal:Filozofi
sd,باب:فلسفو
ckb,دەروازە:فەلسەفە
sr,Портал:Филозофија
fi,Teemasivu:Filosofia
sv,Portal:Filosofi
ta,வலைவாசல்:மெய்யியல்
shi,Aggur:Taflsuft
tt,Портал:Фәлсәфә
th,สถานีย่อย:ปรัชญา
tg,Портал:Фалсафа
tr,Portal:Felsefe
uk,Портал:Філософія
ur,باب:فلسفہ
vi,Cổng thông tin:Triết học
lzh,門:子
yue,Portal:哲學
diq,Portal:Felsefe
zh,Portal:哲学
