Language,Title
ar,متسلسلة قوى
az,Qüvvət sıraları
be,Ступенны рад
be-tarask,Ступеневы шэраг
bg,Степенен ред
bs,Potencijalni red
ca,Sèrie de potències enteres
cv,Капашла рет
cs,Mocninná řada
da,Potensrække
de,Potenzreihe
et,Astmerida
es,Serie de potencias
eu,Berretura-serie
fa,سری توانی
fr,Série entière
ko,멱급수
hy,Աստիճանային շարք
hi,घात श्रेणी
id,Deret pangkat
is,Veldaröð
it,Serie di potenze
he,טור חזקות
hu,Hatványsor
nl,Machtreeks
ja,冪級数
nb,Potensrekke
nn,Potensrekkje
uz,Darajali qatorlar
pl,Szereg potęgowy
pt,Série de potências
ro,Serie de puteri
ru,Степенной ряд
en-simple,Power series
sl,Potenčna vrsta
sr,Степени ред
fi,Potenssisarja
sv,Potensserie
tl,Makapangyarihang serye
ta,அடுக்குத் தொடர் (கணிதம்)
tr,Kuvvet serisi
uk,Степеневий ряд
ur,قوتی سلسلہ
zh,幂级数
