Language,Title
en,Probability theory
af,Waarskynlikheidsleer
ar,نظرية الاحتمال
ast,Teoría de la probabilidá
az,Ehtimal nəzəriyyəsi
azb,ایحتیمال نظریه‌سی
ba,Ихтималлыҡ теорияһы
be,Тэорыя імавернасцей
be-tarask,Тэорыя імавернасьцяў
bg,Теория на вероятностите
ca,Teoria de la probabilitat
cv,Пулаяслăхсен теорийĕ
cs,Teorie pravděpodobnosti
cy,Damcaniaeth tebygolrwydd
da,Sandsynlighedsregning
de,Wahrscheinlichkeitstheorie
et,Tõenäosusteooria
el,Θεωρία πιθανοτήτων
es,Teoría de la probabilidad
eo,Probablo-teorio (matematiko)
eu,Probabilitate teoria
fa,نظریه احتمالات
fr,Théorie des probabilités
ga,Teoiric na dóchúlachta
gl,Teoría da probabilidade
ko,확률론
hy,Հավանականությունների տեսություն
hi,प्रायिकता सिद्धांत
hr,Teorija vjerojatnosti
id,Peluang (matematika)
os,Уæвæны теори
is,Líkindafræði
it,Teoria della probabilità
he,תורת ההסתברות
jv,Téori probabilitas
ka,ალბათობის თეორია
kk,Ықтималдық теориясы
ky,Ыктымалдуулук теориясы
la,Theoria probabilitatum
lv,Varbūtību teorija
lt,Tikimybių teorija
hu,Valószínűségszámítás
mk,Теорија на веројатноста
ms,Teori kebarangkalian
mn,Магадлалын онол
nl,Kansrekening
ja,確率論
nb,Sannsynlighetsteori
nn,Sannsynsrekning
oc,Teoria dei probabilitats
or,ସମ୍ଭାବ୍ୟତା ସିଦ୍ଧାନ୍ତ
uz,Ehtimollar nazariyasi
pa,ਸੰਭਾਵਿਕਤਾ ਸਿਧਾਂਤ
pl,Teoria prawdopodobieństwa
pt,Teoria das probabilidades
kaa,Itimallıqlar teoriyası
ro,Teoria probabilităților
ru,Теория вероятностей
sco,Probability theory
sq,Teoria e probabilitetit
si,සම්භාවිතා වාදය
en-simple,Probability theory
sk,Teória pravdepodobnosti
sl,Verjetnostni račun
ckb,تیۆریی ئەگەر
sr,Теорија вероватноће
sh,Teorija vjerovatnoće
su,Téori probabilitas
fi,Todennäköisyysteoria
sv,Sannolikhetsteori
tl,Teorya ng probabilidad
ta,நிகழ்தகவுக் கோட்பாடு
th,ทฤษฎีความน่าจะเป็น
tg,Назарияи эҳтимолият
tr,Olasılık teorisi
tk,Ähtimallyk teoriýasy
uk,Теорія ймовірностей
ur,نظریۂ احتمال
vi,Lý thuyết xác suất
wuu,概率论
yi,טעאריע פון משמעותדיקייט
yue,概率論
zh,概率论
