Language,Title
en,Probability
af,Waarskynlikheid
gsw,Wahrscheinlichkeit
am,ዕድል ጥናት
ar,احتمال
an,Probabilidat
as,সম্ভাৱিতা
ast,Probabilidá
ay,Inas
az,Ehtimal
azb,اولاسیلیق
bn,সম্ভাবনা
nan,Ki-lu̍t
ba,Ихтималлыҡ
be,Імавернасць
be-tarask,Імавернасьць
bg,Вероятност
bar,Woarscheinlichkeit
bs,Vjerovatnoća
bxr,Магадлал
ca,Probabilitat
cv,Пулаяслăх
cs,Pravděpodobnost
cy,Tebygolrwydd
da,Sandsynlighed
de,Wahrscheinlichkeit
et,Tõenäosus
el,Πιθανότητα
es,Probabilidad
eo,Probablo
eu,Probabilitate
fa,احتمالات
fr,Probabilité
ga,Dóchúlacht
gl,Probabilidade
gan,機率
ko,확률
ha,Yiwuwar abu (Lissafi)
hy,Հավանականություն
hi,प्रायिकता
hr,Vjerojatnost
io,Probableso
ilo,Probabilidad
id,Peluang (matematika)
ia,Probabilitate
is,Líkindi
it,Probabilità
he,הסתברות
kbp,Pʊtɔma kalʊʊ
kn,ಸಂಭಾವ್ಯತೆ
ka,ალბათობა
kk,Ықтималдық
sw,Yamkini
gcr,Probabilité
la,Probabilitas
lv,Varbūtība
lb,Warscheinlechkeet
lt,Tikimybė
mk,Веројатност
ml,സംഭാവ്യത
mt,Probabbiltà
ms,Kebarangkalian
my,ဖြစ်နိုင်ခြေ
nl,Kans (kansrekening)
ja,確率
ce,Хила тардалар
frr,Woorskiinelkhaid
nb,Sannsynlighet
nn,Sannsyn
oc,Probabilitat
om,Carraa Ta'uumsaa
uz,Ehtimollik
pa,ਸੰਭਾਵਨਾ
pnb,ہون شک
ps,احتمال
jam,Prabebiliti
pcd,Probabilité
pms,Probabilità
pl,Prawdopodobieństwo
pt,Probabilidade
ro,Probabilitate
ru,Вероятность
sco,Define:Probability
sq,Probabiliteti
scn,Prubbabbilità
en-simple,Probability
sk,Pravdepodobnosť
sl,Verjetnost
so,Itimaal
ckb,ئەگەر
sr,Вероватноћа
sh,Vjerojatnost
su,Probabilitas
fi,Todennäköisyys
sv,Sannolikhet
tl,Probabilidad
ta,நிகழ்தகவு
tt,Ихтималлык
th,ความน่าจะเป็น
tg,Эҳтимолият
tr,Olasılık
uk,Імовірність
ur,احتمال (عام)
vec,Probabiłità
vep,Naceinuz
vi,Xác suất
lzh,或然率
war,Probabilidad
wuu,概率
yi,משמעותדיקייט
yue,概率
zh,概率
