Language,Title
ar,قاعدة الضرب
bs,Pravilo derivacije proizvoda
ca,Regla del producte
cs,Součinové pravidlo
de,Produktregel
es,Regla del producto (cálculo)
eo,Derivaĵo de produto
fa,قاعده ضرب
fr,Règle du produit
gl,Regra do produto (cálculo)
ko,곱 규칙
hi,गुणन नियम
id,Kaidah darab
is,Margfeldisregla
it,Regola del prodotto
he,כלל לייבניץ לנגזרת מכפלה
hu,Szorzatszabály
nl,Productregel (afgeleide)
ja,積の微分法則
pt,Regra do produto
ru,Правило произведения
en-simple,Product rule
sl,Odvod produkta
sh,Pravilo derivacije proizvoda
fi,Tulon derivoimissääntö
sv,Produktregeln
tl,Patakarang produkto
ta,வகையிடலின் பெருக்கல் விதி
th,กฎผลคูณ
tr,Çarpma kuralı
uk,Правило добутку
vi,Quy tắc nhân
zh,乘积法则
