Language,Title
en,Projective geometry
ar,هندسة إسقاطية
az,Proyektiv həndəsə
bn,অভিক্ষেপ জ্যামিতি
bg,Проективна геометрия
ca,Geometria projectiva
cs,Projektivní geometrie
cy,Geometreg dafluniol
de,Projektive Geometrie
el,Προβολική γεωμετρία
es,Geometría proyectiva
eo,Projekcia geometrio
fa,هندسه تصویری
fr,Géométrie projective
ga,Geoiméadracht theilgeach
gl,Xeometría proxectiva
ko,사영기하학
hy,Պրոյեկտիվ երկրաչափություն
hi,प्रक्षेपीय ज्यामिति
id,Geometri proyektif
it,Geometria proiettiva
he,גאומטריה פרויקטיבית
ky,Проекциялык геометрия
lt,Projekcinė geometrija
hu,Projektív geometria
nl,Projectieve meetkunde
ja,射影幾何学
nb,Projektiv geometri
nn,Projektiv geometri
pms,Geometrìa projetiva
pl,Geometria rzutowa
pt,Geometria projetiva
ro,Geometrie proiectivă
ru,Проективная геометрия
sk,Projektívna geometria
sl,Projektivna geometrija
fi,Projektiivinen geometria
sv,Projektiv geometri
tg,Ҳандасаи тасвирӣ
tr,Projektif geometri
uk,Проєктивна геометрія
yue,投影幾何
zh,射影几何
