Language,Title
en,Quantification (logic)
ar,مكمم
bg,Квантор
ca,Quantificador (lògica)
cs,Kvantifikátor
da,Kvantor
de,Quantor
et,Kvantifikatsioon (loogika)
es,Cuantificador
eo,Kvantizanto
eu,Zenbatzaile (logika)
fa,سور (منطق)
fr,Quantification (logique)
hy,Քվանտորներ
hr,Logički kvantifikator
id,Kuantifer (logika)
ia,Quantificator
it,Quantificatore
he,כמת
kk,Квантор
ky,Квантор
hu,Kvantor (logika)
ms,Pengkuantitian
nl,Kwantor (logica)
nn,Kvantor
pl,Kwantyfikator
pt,Quantificação
ru,Квантор
en-simple,Logical quantifier
sk,Kvantifikátor (logika)
sv,Kvantifikator
tr,Niceleme (mantık)
uk,Квантор
vi,Lượng từ (logic)
zh,量化 (数理逻辑)
