Language,Title
ar,قاعدة ناتج القسمة
bs,Pravilo derivacije količnika
ca,Regla del quocient
cs,Podílové pravidlo
de,Quotientenregel
es,Regla del cociente
eo,Derivaĵo de kvociento
fa,قاعده خارج‌قسمت
ko,몫 규칙
hi,भागफल नियम
id,Kaidah hasil-bagi
is,Brotaregla
it,Regola del quoziente
hu,Hányadosszabály
ms,Petua hasil bahagi
nl,Quotiëntregel
ja,商の微分法則
pt,Regra do quociente
sl,Odvod količnika
fi,Osamäärän derivoimissääntö
sv,Kvotregeln
tl,Patakarang kosiyente
ta,வகையிடலின் வகுத்தல் விதி
th,กฎผลหาร
tr,Bölme kuralı
zh,除法定则
