Language,Title
en,Ratio
af,Verhouding
am,ውድር
ar,نسبة (رياضيات)
as,অনুপাত
az,Nisbət və tənasüb
bcl,Rasyo
bg,Съотношение
ca,Ràtio
cv,Шайлашăннăлăх
cs,Poměr
sn,Rheshiyo
cy,Cymhareb
da,Forholdstal
ary,راصيو
de,Verhältnis (Mathematik)
el,Λόγος (μαθηματικά)
es,Razón (matemática)
eo,Rilatumo
eu,Arrazoi (matematika)
fa,نسبت (ریاضیات)
fr,Rapport (mathématiques)
fy,Ferhâlding (wiskunde)
ko,비 (수학)
hy,Հարաբերություններ (մաթեմատիկա)
hi,अनुपात
hr,Omjer
it,Rapporto (matematica)
he,יחס (בין מספרים)
ky,Катыш
lt,Santykis
hu,Arány
ml,അംശബന്ധം
mr,गुणोत्तर
ms,Nisbah
nl,Verhouding (wiskunde)
new,अनुपात
ja,比
nb,Forhold
nn,Forhold
pl,Stosunek (matematyka)
pt,Razão (matemática)
ro,Raport
ru,Соотношение
en-simple,Ratio
so,Saami qumman
ckb,ڕێژە
sr,Размера (математика)
fi,Suhde
tl,Rasyo
ta,விகிதம்
te,నిష్పత్తి
th,อัตราส่วน
tr,Rasyo
uk,Співвідношення
vi,Tỷ lệ
war,Rasyo
zh,比
