Language,Title
en,Rational number
af,Rasionale getal
gsw,Rationale Zahl
anp,परिमेय संख्या
ar,عدد كسري
an,Numero racional
as,পৰিমেয় সংখ্যা
ast,Númberu racional
az,Rasional ədədlər
azb,راسیونال ساییلار
bn,মূলদ সংখ্যা
nan,Pí-sò͘
ba,Рациональ һан
be,Рацыянальны лік
be-tarask,Рацыянальны лік
bg,Рационално число
bs,Racionalni broj
br,Niver feurek
ca,Nombre racional
cv,Рационаллă хисеп
cs,Racionální číslo
sn,Nhamba svinu
cy,Rhif cymarebol
da,Rationale tal
de,Rationale Zahl
et,Ratsionaalarv
el,Ρητός αριθμός
egl,Nómmer raziunèl
es,Número racional
eo,Racionala nombro
eu,Zenbaki arrazional
fa,عدد گویا
fo,Rationelt tal
fr,Nombre rationnel
ga,Uimhir chóimheasta
gl,Número racional
gan,有理數
xal,Рационал тойг
ko,유리수
hy,Ռացիոնալ թիվ
hi,परिमेय संख्या
hr,Racionalni broj
io,Racionala nombro
id,Bilangan rasional
ia,Numero rational
xh,Amanani a-rational
is,Ræðar tölur
it,Numero razionale
he,מספר רציונלי
ka,რაციონალური რიცხვი
kk,Рационал сан
gcr,Nonm rasyonèl
lo,ຈຳນວນປົກກະຕິ
la,Numerus rationalis
lv,Racionāls skaitlis
lt,Racionalusis skaičius
li,Rationaol getal
lfn,Numero razonal
jbo,dilcyna'u
lmo,Nümar razziunaal
hu,Racionális számok
mk,Рационален број
mg,Isa voasaina
ml,ഭിന്നകം
mr,परिमेय संख्या
ms,Nombor nisbah
mn,Рационал тоо
my,ရာရှင်နယ်ကိန်း
nl,Rationaal getal
ne,परिमेय सङ्ख्या
ja,有理数
frr,Ratsionaal taal
nb,Rasjonalt tall
nn,Rasjonale tal
oc,Nombre racional
or,ପରିମେୟ ସଂଖ୍ୟା
om,Lakkoofsa Entaa
uz,Ratsional sonlar
pa,ਬਟੇਨੁਮਾ ਸੰਖਿਆ
pnb,ریشنل نمبر
jam,Rashanal nomba
pms,Nùmer rassional
nds,Ratschonale Tall
pl,Liczby wymierne
pt,Número racional
kaa,Racional sanlar
ro,Număr rațional
ru,Рациональное число
scn,Nùmmuru razziunali
si,පරිමේය සංඛ්‍යා
en-simple,Rational number
sk,Racionálne číslo
sl,Racionalno število
ckb,ژمارەی ڕێژەیی
sr,Рационалан број
sh,Racionalni broj
fi,Rationaaliluku
sv,Rationella tal
tl,Makatwirang bilang
ta,விகிதமுறு எண்
tt,Рациональ саннар
th,จำนวนตรรกยะ
tg,Адади ратсионалӣ
tr,Rasyonel sayılar
uk,Раціональне число
ur,ناطق عدد
vi,Số hữu tỉ
vro,Jagoarv
lzh,分數
vls,Rationoale getalln
war,Ihap rasyonal
wuu,有理数
yi,ראציאנאלע צאל
yo,Nọ́mbà oníìpín
yue,有理數
sgs,Raciuonalosis skaitlios
zh,有理数
