Language,Title
en,Real number
af,Reële getal
gsw,Reelle Zahl
smn,Reaalloho
anp,वास्तविक संख्या
ar,عدد حقيقي
ast,Númberu real
az,Həqiqi ədədlər
bn,বাস্তব সংখ্যা
nan,Si̍t-sò͘
ba,Ысын һан
be,Рэчаісны лік
be-tarask,Рэчаісны лік
bh,वास्तविक संख्या
bcl,Tunay na bilang
bg,Реално число
bs,Realan broj
bxr,Бодото тоо
ca,Nombre real
cv,Чăн хисеп
cs,Reálné číslo
cy,Rhif real
da,Reelle tal
de,Reelle Zahl
et,Reaalarv
el,Πραγματικός αριθμός
egl,Nómmer reèl
es,Número real
eo,Reelo
eu,Zenbaki erreal
fa,عدد حقیقی
fo,Reelt tal
fr,Nombre réel
fur,Numars reâi
ga,Réaduimhir
gv,Feer earroo
gl,Número real
gan,實數
xal,Бәәлһан тойг
ko,실수
hy,Իրական թվեր
hi,वास्तविक संख्या
hr,Realni broj
io,Reala nombro
id,Bilangan riil
ia,Numero real
os,Бæлвырд нымæц
is,Rauntala
it,Numero reale
he,מספר ממשי
kbp,Siŋŋ ñʊŋ (tʊʊzʊʊ)
kn,ನೈಜ್ಯ ಸಂಖ್ಯೆ
ka,ნამდვილი რიცხვი
kk,Нақты сан
sw,Namba halisi
gcr,Nonm réyèl
ku,Hejmarên rastîn
ky,Анык сан
lo,ຈຳນວນຈິງ
la,Numerus realis
lv,Reāls skaitlis
lt,Realusis skaičius
li,Reëel getal
lfn,Numero real
jbo,pavycimdyna'u
lmo,Numer real
hu,Valós számok
mk,Реален број
ml,വാസ്തവികസംഖ്യ
mr,वास्तविक संख्या
ms,Nombor nyata
nl,Reëel getal
ne,वास्तविक सङ्ख्या
ja,実数
frr,Re'el taal
nb,Reelt tall
nn,Reelle tal
oc,Nombre real
uz,Haqiqiy sonlar
pa,ਵਾਸਤਵਿਕ ਅੰਕ
jam,Riil nomba
km,ចំនួនពិត
pms,Nùmer real
pl,Liczby rzeczywiste
pt,Número real
crh,Aqiqiy sayı
ro,Număr real
ru,Вещественное число
sah,Дьиҥнээх чыыһылалар
sq,Numrat realë
scn,Nùmmuru riali
si,තාත්වික සංඛ්‍යා
en-simple,Real number
sk,Reálne číslo
sl,Realno število
ckb,ژمارەی ڕاستەقینە
sr,Реалан број
sh,Realan broj
fi,Reaaliluku
sv,Reella tal
tl,Tunay na bilang
ta,மெய்யெண்
th,จำนวนจริง
tr,Reel sayılar
uk,Дійсне число
ur,حقیقی عدد
vi,Số thực
vro,Reaalarv
lzh,實數
wuu,实数
yi,רעאלע צאל
yo,Nọ́mbà gidi
yue,實數
diq,Amaro reel
zh,实数
