Language,Title
en,Repeating decimal
af,Repeterende breuk
ar,تكرار عشري
ca,Nombre decimal periòdic
cs,Perioda (matematika)
de,Rationale Zahl
el,Περιοδικός αριθμός
es,Número decimal periódico
eu,Zenbaki hamartar periodiko
fa,ده‌دهی متناوب
fr,Développement décimal périodique
gl,Decimal periódico
ko,순환소수
it,Numero decimale periodico
he,שבר מחזורי
ml,ആവർത്തന ദശാംശരൂപങ്ങൾ
nl,Repeterende breuk
ja,循環小数
nb,Periodisk desimaltall
pa,ਵਾਰਵਾਰੀ ਇਸ਼ਾਰੀਆ
pl,Ułamek dziesiętny nieskończony
pt,Dízima periódica
ru,Периодическая десятичная дробь
en-simple,Repeating decimal
sk,Perióda (matematika)
sl,Desetiški ulomek
fi,Jaksollinen desimaaliluku
ta,மீளும் தசமங்கள்
th,ทศนิยมซ้ำ
tr,Devirli sayı
ur,لامعید اعشاریہ
vi,Số thập phân vô hạn tuần hoàn
yue,循環小數
zh,循环小数
