Language,Title
ar,تكامل ريمان
az,Riman inteqralı
be,Інтэграл Рымана
ca,Integral de Riemann
cv,Риман интегралĕ
cs,Riemannův integrál
de,Riemannsches Integral
es,Integral de Riemann
eo,Rimana integralo
eu,Riemannen integral
fa,انتگرال ریمان
fr,Intégrale de Riemann
ko,리만 적분
hy,Ռիմանի ինտեգրալ
id,Integral Riemann
it,Integrale di Riemann
he,אינטגרל רימן
lv,Rīmaņa integrālis
lt,Rymano integralas
hu,Riemann-integrál
nl,Riemannintegratie
ja,リーマン積分
pl,Całka Riemanna
pt,Integral de Riemann
ro,Integrală Riemann
ru,Интеграл Римана
scn,Ntigrali di Riemann
sk,Riemannov integrál
ckb,تەواوکاریی ڕیمان
fi,Riemannin integraali
sv,Riemannintegral
th,ปริพันธ์รีมัน
tr,Riemann integrali
uk,Інтеграл Рімана
yue,黎曼積分
zh,黎曼积分
