Language,Title
en,Riemannian geometry
ar,هندسة ريمانية
ast,Xeometría de Riemann
az,Riman həndəsəsi
bg,Риманова геометрия
ca,Geometria riemanniana
cv,Риман геометрийĕ
cs,Riemannova geometrie
da,Riemannsk geometri
de,Riemannsche Geometrie
et,Riemanni geomeetria
es,Geometría de Riemann
eu,Riemannen geometria
fa,هندسه ریمانی
fr,Géométrie riemannienne
gl,Xeometría de Riemann
ko,리만 기하학
hy,Ռիմանյան երկրաչափություն
hi,रीमानी ज्यामिति
id,Geometri Riemann
it,Geometria riemanniana
kk,Риман геометриясы
nl,Riemann-meetkunde
ja,リーマン幾何学
nb,Riemanns differensialgeometri
uz,Riemann geometriyasi
pa,ਰੀਮਾਨੀਅਨ ਜੀਓਮੈਟ੍ਰੀ
pt,Geometria de Riemann
ru,Риманова геометрия
sr,Rimanova geometrija
sh,Riemannova geometrija
fi,Riemannin geometria
sv,Riemanngeometri
tl,Heometriyang Riemanniano
tr,Riemann geometrisi
uk,Ріманова геометрія
vi,Hình học Riemann
yue,黎曼幾何
zh,黎曼几何
