Language,Title
en,Ring ideal
ar,مثالي (نظرية الحلقات)
bg,Идеал (теория на пръстените)
ca,Ideal (matemàtiques)
cv,Идеал (алгебра)
cs,Ideál (teorie okruhů)
da,Ideal (ringteori)
de,Ideal (Ringtheorie)
et,Ringi ideaal
el,Ιδεώδες (μαθηματικά)
es,Ideal (teoría de anillos)
eo,Idealo (algebro)
fa,ایده‌آل (نظریه حلقه‌ها)
fr,Idéal
ko,아이디얼
id,Ideal (teori gelanggang)
ia,Ideal (theoria de anellos)
it,Ideale (matematica)
he,אידיאל (אלגברה)
kk,Идеал (математикада)
lmo,Ideaal (matemàtica)
hu,Ideál (gyűrűelmélet)
nl,Ideaal (ringtheorie)
ja,イデアル (環論)
nb,Ideal (matematikk)
nn,Ideal i matematikk
pl,Ideał (teoria pierścieni)
pt,Ideal (teoria dos anéis)
ru,Идеал (алгебра)
sk,Ideál (okruhu)
sl,Ideal (teorija kolobarjev)
sr,Идеал (математика)
fi,Ideaali (rengasteoria)
sv,Ideal (ringteori)
ta,வளையத்தில் சீர்மம் (கணிதம்)
uk,Ідеал (алгебра)
vi,I-đê-an
yue,環倍數
zh,理想 (环论)
