Language,Title
en,Scalar multiplication
cs,Násobení skalárem
de,Skalarmultiplikation
es,Multiplicación escalar
eo,Skalara multipliko
fa,ضرب اسکالر
fr,Multiplication par un scalaire
ko,스칼라 곱셈
id,Perkalian skalar
he,כפל בסקלר
ms,Pendaraban skalar
nl,Scalaire vermenigvuldiging
pl,Mnożenie przez skalar
pt,Multiplicação escalar
ro,Înmulțirea cu un scalar
ru,Умножение на скаляр
sl,Množenje vektorja s številom
ta,திசையிலி பெருக்கல்
tr,Skaler çarpma
uk,Множення на скаляр
vi,Phép nhân vô hướng
yue,標量乘法
zh,标量乘法
