Language,Title
en,Scientific notation
af,Wetenskaplike notasie
ar,كتابة علمية
bn,বৈজ্ঞানিক অঙ্কপাতন
bg,Експоненциален запис
ca,Notació científica
cs,Vědecký zápis čísel
da,Videnskabelig notation
de,Wissenschaftliche Notation
et,Arvu standardkuju
el,Επιστημονική σημειογραφία
es,Notación científica
eu,Notazio zientifiko
fa,نماد علمی
fr,Notation scientifique
gl,Notación científica
ko,과학적 기수법
id,Notasi ilmiah
is,Staðalform
it,Notazione scientifica
he,כתיב מדעי
ht,Notasyon syantifik
lv,Zinātniskais pieraksts
lt,Standartinė skaičiaus išraiška
hu,Normálalak
nl,Wetenschappelijke notatie
ja,指数表記
nb,Vitenskapelig notasjon
pl,Notacja naukowa
pt,Notação científica
ru,Экспоненциальная запись
si,විද්‍යාත්මක අංකනය
en-simple,Scientific notation
sl,Znanstveni zapis
so,Qormo saynis
ckb,ھێمای زانستی
fi,Kymmenpotenssimuoto
sv,Grundpotensform
ta,அறிவியல் குறியீடு
th,สัญกรณ์วิทยาศาสตร์
tr,Bilimsel gösterim
uk,Експоненційний запис
yue,科學記數法
zh,科学记数法
