Language,Title
en,Set (mathematics)
gsw,Menge (Mathematik)
am,ስብስብ
ar,مجموعة (رياضيات)
ast,Conxuntu
az,Çoxluqlar
bn,সেট
nan,Chi̍p-ha̍p
ba,Күмәклек
be,Мноства
be-tarask,Мноства
bg,Множество
bs,Skup (matematika)
ca,Conjunt
cv,Йыш
cs,Množina
cy,Set (mathemateg)
da,Mængde
de,Menge (Mathematik)
et,Hulk
el,Σύνολο
myv,Вейссаевкс
es,Conjunto
eo,Aro (matematiko)
eu,Multzo
fa,مجموعه (ریاضیات)
fr,Ensemble
fur,Insiemi
ga,Tacar
gd,Àlach
gl,Conxunto
gan,集合
xal,Олн
ko,집합
hy,Բազմություն
hi,समुच्चय (गणित)
hr,Skup
io,Ensemblo
id,Himpunan (matematika)
ia,Insimul
is,Mengi
it,Insieme
he,קבוצה (מתמטיקה)
kn,ಗಣ (ಗಣಿತ)
ka,სიმრავლე
kk,Бөлік
gcr,Ansanm
ku,Kom
la,Copia
lv,Kopa
lt,Aibė
lmo,Insemma
hu,Halmaz (matematika)
mk,Множество
ml,ഗണം (ഗണിതം)
xmf,მიარე
ms,Set
mn,Олонлог
my,အစု
nl,Verzameling (wiskunde)
ja,集合
nb,Mengde
nn,Mengd
nov,Ensemble
oc,Ensemble
pa,ਸੈੱਟ (ਗਣਿਤ)
jam,Set (matimatix)
pms,Ansem
nds,Koppel (Mathematik)
pl,Zbiór
pt,Conjunto
ro,Mulțime
qu,Tantachisqa
ru,Множество
sq,Bashkësitë
scn,Nzemi
en-simple,Set
sk,Množina
sl,Množica
szl,Mynga (matymatyka)
so,Qaybta (xisaab)
ckb,کۆمەڵە (ماتماتیک)
sr,Скуп
sh,Skup
fi,Joukko
sv,Mängd
tl,Pangkat (matematika)
ta,கணம் (கணிதம்)
te,సమితులు
th,เซต (คณิตศาสตร์)
tr,Küme
uk,Множина
ur,طاقم (ریاضی)
vi,Tập hợp (toán học)
vro,Hulk
lzh,集
vls,Verzoamelienge
wuu,集合（数学）
yi,געזעמל (מאטעמאטיק)
yue,集合
zh,集合 (数学)
