Language,Title
en,Sigma-algebra
bn,সিগমা অ্যালজেব্রা
be,Сігма-алгебра
bg,Сигма-алгебра
ca,Σ-àlgebra
cs,Sigma algebra
da,Sigma-algebra
de,Σ-Algebra
el,Σ-άλγεβρα
es,Σ-álgebra
eo,Sigma-alĝebro
fa,جبر سیگما
fr,Tribu (mathématiques)
ko,시그마 대수
id,Aljabar sigma
is,Sigma-algebra
it,Sigma-algebra
he,סיגמא-אלגברה
ka,სიგმა-ალგებრა
hu,Σ-algebra
nl,Sigma-algebra
ja,完全加法族
nb,Σ-algebra
pms,Tribù d'ansem
pl,Przestrzeń mierzalna
pt,Sigma-álgebra
ro,Sigma-algebră
ru,Сигма-алгебра
sk,Sigma-algebra
su,Aljabar sigma
fi,Sigma-algebra
sv,Sigma-algebra
th,พีชคณิตซิกมา
uk,Сигма-алгебра
vi,Đại số sigma
zh,Σ-代数
