Language,Title
en,Singleton (mathematics)
ar,مجموعة أحادية
nan,Tan-chi̍p-ha̍p
ca,Singletó
cs,Jednoprvková množina
de,Einelementige Menge
el,Μονοσύνολο
es,Conjunto unitario
eo,Unuopo
eu,Ale bakarreko multzo
fa,مجموعه تک‌عضوی
fr,Singleton (mathématiques)
ko,한원소 집합
it,Singoletto
he,יחידון
nl,Singleton (wiskunde)
ja,単集合
pl,Zbiór jednoelementowy
pt,Conjunto unitário
ro,Singleton (matematică)
ru,Синглетон (математика)
sk,Jednoprvková množina
ta,ஒற்றையுறுப்பு கணம்
th,ซิงเกิลตัน
tr,Tek nesne
uk,Синґлетон (математика)
vi,Đơn điểm (toán học)
zh,单元素集合
