Language,Title
en,Spherical geometry
ar,هندسة كروية
ca,Geometria esfèrica
cv,Сферăлла геометри
cs,Sférická geometrie
de,Sphärische Geometrie
el,Σφαιρική γεωμετρία
es,Geometría esférica
eo,Sfera geometrio
fa,هندسه کروی
fr,Géométrie sphérique
gd,Cruinneadaireachd
ko,구면기하학
hy,Ոլորտային երկրաչափություն
hi,गोलीय ज्यामिति
id,Geometri bola
it,Geometria sferica
he,גאומטריה ספירית
lv,Sfēriskā ģeometrija
hu,Gömbi geometria
nl,Bolmeetkunde
ja,球面幾何学
nb,Sfærisk geometri
pl,Geometria sferyczna
pt,Geometria esférica
ro,Geometrie sferică
ru,Сферическая геометрия
en-simple,Spherical geometry
sl,Sferna geometrija
su,Géométri bal
fi,Pallogeometria
sv,Sfärisk geometri
th,เรขาคณิตทรงกลม
uk,Сферична геометрія
vi,Hình học cầu
yue,球面幾何
zh,球面幾何學
