Language,Title
en,Springer Spektrum
ar,شبرينغر
bn,স্প্রিঙ্গার সায়েন্স+বিজনেস মিডিয়া
ca,Springer Science+Business Media
da,Springer Science+Business Media
de,Springer Science+Business Media
et,Springer
el,Springer Science+Business Media
es,Springer Science+Business Media
eo,Springer
fa,اشپرینگر ساینس+بیزینس مدیا
fr,Springer Science+Business Media
ko,슈프링어
id,Springer Science+Business Media
it,Springer (azienda)
he,הוצאת שפרינגר
ms,Springer Science+Business Media
nl,Springer Science+Business Media
ja,シュプリンガー・サイエンス・アンド・ビジネス・メディア
nb,Springer Science+Business Media
pt,Springer Science+Business Media
ru,Springer Science+Business Media
sk,Springer Science+Business Media
sl,Springer Science+Business Media
ckb,سپرینگەر ساینس+بزنس مدیا
sh,Springer Science+Business Media
fi,Springer Science Business Media
sv,Springer Science+Business Media
ta,இசுபிரிங்கர் பதிப்பகம்
tr,Springer (yayınevi)
uk,Springer Science+Business Media
vi,Springer Science+Business Media
yue,Springer科學+商業媒體
zh,施普林格科学+商业媒体
