Language,Title
en,Square (algebra)
af,Kwadraat
gsw,Quadrat (Arithmetik)
ar,مربع (جبر)
az,Kvadrat (cəbr)
bs,Kvadrat (algebra)
ca,Quadrat (àlgebra)
cv,Тăваткал (алгебра)
cs,Druhá mocnina
cy,Sgwario
se,Njealjehas (arimetihkka)
de,Quadrat (Mathematik)
et,Ruut (algebra)
el,Τετράγωνο (άλγεβρα)
es,Cuadrado (álgebra)
eo,Kvadrato (algebro)
fa,مربع (جبر)
fr,Carré (algèbre)
gl,Cadrado (álxebra)
hy,Թվի քառակուսի
hr,Kvadrat (aritmetika)
id,Pangkat dua
it,Quadrato (algebra)
sw,Kipeo cha pili
lt,Kvadratas (algebra)
lmo,Quadràt (Àlgebra)
hu,Négyzetre emelés
mk,Квадрат (алгебра)
ml,വർഗ്ഗം (ഗണിതശാസ്ത്രം)
ms,Kuasa dua
nl,Kwadraat
ne,वर्ग
ja,自乗
nb,Kvadrat (aritmetikk)
oc,Carrat (algèbre)
nds,Quadrat (Algebra)
pl,Kwadrat (algebra)
pt,Número quadrado
ro,Pătrat (algebră)
ru,Квадрат (алгебра)
en-simple,Square (algebra)
ckb,چوارگۆشە (جەبر)
sr,Квадрат (алгебра)
fi,Neliö (algebra)
sv,Kvadrat (aritmetik)
tl,Parirami
ta,வர்க்கம் (இயற்கணிதம்)
tr,Kare (cebir)
uk,Квадрат (алгебра)
vi,Bình phương
yo,Ìlọ́pomẹ́jì (Áljẹ́brà)
yue,平方
zh,平方
