Language,Title
en,Squeeze theorem
am,ቆንጣጭ እርግጥ
ar,مبرهنة الساندويتش
ca,Teorema del sandvitx
cv,Икĕ милиционер теореми
de,Einschnürungssatz
el,Κριτήριο παρεμβολής
es,Teorema del emparedado
eu,Sandwicharen teorema
fa,قضیه فشردگی
fr,Théorème des gendarmes
ko,샌드위치 정리
id,Teorema apit
it,Teorema del confronto
he,כלל הסנדוויץ'
lv,Divu policistu teorēma
lmo,Teorema del confront
hu,Közrefogási elv
ja,はさみうちの原理
pl,Twierdzenie o trzech ciągach
pt,Teorema do confronto
ro,Teorema cleștelui
ru,Теорема о двух милиционерах
ckb,تیۆرمی دوو مەرج
fi,Kuristusperiaate
sv,Instängningssatsen
ta,பிழிவுத் தேற்றம்
tr,Sıkıştırma teoremi
uk,Стискна теорема
vi,Định lý kẹp
zh,夾擠定理
