Language,Title
en,Subset
am,ታህታይ ስብስብ
ar,مجموعة جزئية
bn,উপসেট
be,Падмноства
be-tarask,Падмноства
bg,Подмножество
ca,Subconjunt
cv,Аййыш
cs,Podmnožina
cy,Is-set
da,Delmængde
de,Teilmenge
et,Alamhulk
el,Υποσύνολο
es,Subconjunto
eo,Subaro
eu,Azpimultzo
fa,زیرمجموعه
fr,Inclusion (mathématiques)
ko,부분집합
hy,Ենթաբազմություն
hi,उपसमुच्चय
hr,Podskup
id,Himpunan bagian
ia,Subinsimul
is,Hlutmengi
it,Inclusione
he,תת-קבוצה
ku,Binkom
lmo,Inclusion
hu,Részhalmaz
mk,Подмножество
ms,Subset
mn,Дэд олонлог
fj,Subset
nl,Deelverzameling
ja,部分集合
nb,Delmengde
nn,Delmengd
pl,Podzbiór
pt,Subconjunto
ro,Submulțime
ru,Подмножество
scn,Suttanzemi
en-simple,Subset
sk,Podmnožina
sl,Podmnožica
ckb,ژێرکۆمەڵ
sr,Подскуп
sh,Podskup
fi,Osajoukko
sv,Delmängd
tl,Subpangkat
ta,உட்கணம்
th,เซตย่อย
tr,Alt küme
uk,Підмножина
vi,Tập hợp con
vro,Alambhulk
lzh,子集
vls,Dêelverzoamelienge
wuu,子集
yue,子集
zh,子集
