Language,Title
af,Lys van afgeleides
ar,قواعد التفاضل
bn,অন্তরকলন বিধি
be,Табліца вытворных
bg,Таблица на производни
bs,Spisak diferencijacijskih identiteta
ca,Regles de derivació
cv,Тухсатăрансен таблици
da,Regneregler for differentiation
es,Reglas de derivación
fa,قواعد دیفرانسیل گیری
ko,미분법
hy,Ածանցման կանոններ
hi,अवकलजों की सूची
id,Kaidah pendiferensialan
it,Regole di derivazione
lt,Sąrašas:Išvestinių lentelė
mk,Таблица на изводи
km,តារាងដេរីវេ
ru,Таблица производных
sr,Таблица извода
ta,வகையிடல் விதிகள்
tr,Türev alma kuralları
uk,Таблиця похідних
zh,导数列表
