Language,Title
ar,تكامل سطح
ca,Integral de superfície
cv,Çий интегралĕ
cs,Plošný integrál
da,Overfladeintegral
de,Oberflächenintegral
es,Integral de superficie
eo,Surfaca integralo
fa,انتگرال سطحی
fr,Intégrale de surface
ko,면적분
hy,Մակերևութային ինտեգրալ
id,Permukaan integral
it,Integrale di superficie
he,אינטגרל משטחי
mk,Површински интеграл
nl,Oppervlakte-integraal
ja,面積分
nb,Flateintegral
km,អាំងតេក្រាលផ្ទៃ
pl,Całka powierzchniowa
pt,Integral de superfície
ru,Поверхностные интегралы
en-simple,Surface integral
sr,Површински интеграл
fi,Pintaintegraali
sv,Ytintegral
tr,Yüzey integrali
uk,Поверхневий інтеграл
vi,Tích phân mặt
zh,曲面积分
