Language,Title
en,Taxicab geometry
af,Manhattan-metriek
ar,هندسة سيارة الأجرة
ca,Geometria del taxista
cs,Manhattanská metrika
de,Manhattan-Metrik
es,Geometría del taxista
fa,فاصله منهتن
fr,Distance de Manhattan
ko,맨해튼 거리
id,Jarak Manhattan
it,Geometria del taxi
he,גאומטריית נהגי המוניות
ml,ടാക്സികാബ് ജ്യാമിതി
nl,Manhattan-metriek
ja,マンハッタン距離
pt,Geometria do táxi
ro,Distanță Manhattan
ru,Расстояние городских кварталов
en-simple,Manhattan distance
sv,Manhattangeometri
uk,Мангеттенська метрика
vi,Khoảng cách Manhattan
yue,曼克頓距離
zh,曼哈頓距離
