Language,Title
ar,مبرهنة تايلور
az,Teylor teoremi
bg,Теорема на Тейлър
bar,Taylorpolynom
ca,Teorema de Taylor
de,Taylor-Formel
et,Taylori valem
es,Teorema de Taylor
eu,Taylorren teorema
fa,قضیه تیلور
fr,Théorème de Taylor
ko,테일러 정리
hi,टेलर प्रमेय
id,Teorema Taylor
is,Setning Taylors
it,Teorema di Taylor
he,שארית של טור טיילור
kk,Маклорен қатары
hu,Taylor-tétel
nl,Stelling van Taylor
ja,テイラーの定理
pms,Fórmole ëd Taylor
pl,Wzór Taylora
pt,Teorema de Taylor
ru,Теорема Тейлора
en-simple,Taylor's theorem
sr,Тејлорова формула
sh,Taylorova formula
shi,Askkud n Tayluṛ (Taylor)
tr,Taylor teoremi
uk,Теорема Тейлора
vi,Định lý Taylor
zh,泰勒公式
