Language,Title
ar,متسلسلة تايلور
ast,Serie de Taylor
az,Teylor sırası
bn,টেলর ধারা
ba,Тейлор рәте
be,Рад Тэйлара
bg,Ред на Тейлър
bar,Taylorreihe
bs,Taylorov red
ca,Sèrie de Taylor
cv,Тейлор речĕ
cs,Taylorova řada
cy,Cyfres Taylor
da,Taylorpolynomium
de,Taylorreihe
et,Taylori rida
el,Σειρά Τέιλορ
es,Serie de Taylor
eo,Serio de Taylor
eu,Taylor serie
fa,بسط تیلور
fr,Série de Taylor
gl,Serie de Taylor
ko,테일러 급수
hy,Թեյլորի շարք
hi,टेलर श्रेणी
hr,Taylorov red
id,Deret Taylor
is,Taylorröð
it,Serie di Taylor
he,טור טיילור
kk,Тейлор қатары
lv,Teilora rinda
lt,Teiloro eilutė
hu,Taylor-sor
mk,Тејлорова формула
nl,Taylorreeks
ja,テイラー展開
nb,Taylorrekke
nn,Taylorrekkje
pms,Serie ëd Taylor
pl,Szereg Taylora
pt,Série de Taylor
ro,Serie Taylor
ru,Ряд Тейлора
si,ටේලර් ශ්‍රේණිය
en-simple,Taylor series
sk,Taylorov rad
sl,Taylorjeva vrsta
ckb,زنجیرەی تایلۆر
sr,Тејлоров полином
sh,Tejlorov polinom
fi,Taylorin sarja
sv,Taylorserie
ta,டெய்லர் தொடர்
tt,Тейлор рәте
tg,Қатори Тейлор
tr,Taylor serisi
uk,Ряд Тейлора
ur,ٹیلر سلسلہ
vi,Chuỗi Taylor
wuu,泰勒级数
yue,泰勒級數
zh,泰勒级数
