Language,Title
en,The Times
af,The Times
ar,ذا تايمز
ast,The Times
az,The Times
bn,দ্য টাইমস
nan,The Times
be,The Times
be-tarask,The Times
bg,Таймс
br,The Times
ca,The Times
cs,The Times
cy,The Times
da,The Times
de,The Times
et,The Times
el,The Times
es,The Times
eo,The Times
eu,The Times
fa,تایمز
fr,The Times
fy,The Times
ga,The Times
gl,The Times
ko,타임스
hy,Թայմս
id,The Times
is,The Times
it,The Times
he,הטיימס
jv,The Times
ka,The Times
kk,The Times
ku,The Times
la,The Times
lv,The Times
lt,The Times
hu,The Times
mk,Тајмс
ml,ദി ടൈംസ്
arz,ذا تايمز
ms,The Times
my,တိုင်းစ်
nl,The Times
ja,タイムズ
nb,The Times
nn,The Times
oc,The Times
uz,The Times
pa,ਦ ਟਾਈਮਜ਼
pnb,دی ٹائیمز
pms,The Times
pl,The Times
pt,The Times
ro,The Times
qu,The Times
ru,The Times
si,ද ටයිම්ස්
en-simple,The Times
sk,The Times
sl,The Times
sr,The Times
sh,The Times
fi,The Times
sv,The Times
ta,தி டைம்ஸ்
th,เดอะไทมส์
tr,The Times
uk,Таймс
ur,لندن ٹائمز
vi,The Times
wuu,泰晤士报
yue,泰晤士報
zh,泰晤士报
