Language,Title
en,Truth value
ar,قيمة صواب
ca,Valor veritable
cs,Pravdivostní hodnota
da,Sandhedsværdi
de,Wahrheitswert
et,Tõeväärtus
es,Valor de verdad
fa,ارزش درستی
fr,Valeur de vérité
ko,진릿값
it,Valore di verità
he,ערך אמת
mk,Вистинитосна вредност
nl,Waarheidswaarde
ja,真理値
pl,Wartość logiczna
pt,Valor de verdade
ro,Valoare de adevăr
ru,Значение истинности
en-simple,Truth value
sk,Pravdivostná hodnota
ckb,بایەخی دروستی
sr,Истинитосна вредност
fi,Totuusarvo
sv,Sanningsvärde
tl,Halagang lohikal
th,ค่าความจริง
tr,Doğruluk değeri
uk,Значення істинності
zh,真值
