Language,Title
en,Truth
af,Waarheid
gsw,Wahrheit
anp,सत्य
ar,حقيقة
an,Verdat
hyw,Ճշմարտութիւն
as,সত্য
ast,Verdá
awa,सच्चाई
gn,Añete
az,Həqiqət
azb,حقیقت
bn,সত্য
nan,Chin-lí
ba,Хәҡиҡәт
be,Ісціна
be-tarask,Ісьціна
bcl,Katotoohan
bg,Истина
bar,Woarheit
bs,Istina
br,Gwirionez
bxr,Үнэн
ca,Veritat
cv,Чăнлăх
cs,Pravda
sn,Chokwadi
cy,Gwirionedd
da,Sandhed
de,Wahrheit
et,Tõde
el,Αλήθεια
es,Verdad
eo,Vero
eu,Egia
fa,حقیقت (فلسفه)
hif,Sachchaai
fr,Vérité
fy,Wierheid
ga,Fírinne
gl,Verdade
gan,真理
gu,સત્ય
guw,Nugbo
xal,Үнн
ko,진리
ha,Gaskiya
hy,Ճշմարտություն
hr,Istina
io,Verajo
ilo,Kinaagpayso
id,Kebenaran
ia,Veritate
is,Sannleikur
it,Verità
he,אמת
kbp,Toovenum (vérité)
ka,ჭეშმარიტება
kk,Ақиқат
sw,Ukweli
gcr,Vérité
ku,Rastî
ky,Чындык
lld,Urità
la,Veritas
lv,Patiesība
lt,Tiesa
li,Waorheid
lfn,Veria
hu,Igazság (filozófia)
mai,साँच
mk,Вистина
ml,സത്യം
mr,सत्य
arz,حقيقه
ms,Kebenaran
mwl,Berdade
mn,Үнэн
fj,Dina
nl,Waarheid
new,सत्य
ja,真理
ce,Бакъдерг
frr,Woorhaid
nb,Sannhet
nn,Sanning
nrf,Véritaé
nov,Veritate
oc,Vertat
uz,Haqiqat
pa,ਸੱਚ
pfl,Wahrheit
pnb,سچ
ps,حقیقت
jam,Chuut
pms,Vrità
pl,Prawda
pt,Verdade
ro,Adevăr
qu,Chiqap
rue,Правда
ru,Истина
sah,Кырдьык
sa,सत्यम्
sat,ᱥᱚᱛ
sco,Truith
sq,E vërteta
en-simple,Truth
sk,Pravda (filozofia)
sl,Resnica
so,Run
ckb,ڕاستی
sr,Истина
sh,Istina
fi,Totuus
sv,Sanning
tl,Katotohanan
ta,உண்மை
tt,Хакыйкать
te,నిజం
th,ความจริง
tr,Gerçek
uk,Істина
ur,سچائی
za,Caenleix
vi,Chân lý
lzh,實
war,Kamatooran
wuu,真理
yi,אמת
yue,真
sgs,Teisībė
zh,真理
