Language,Title
en,Unary operation
ar,عملية أحادية
bg,Унарна операция
ca,Operació unària
cs,Unární operace
da,Unær operator
de,Einstellige Verknüpfung
et,Unaarne tehe
el,Μοναδιαία πράξη
es,Operación unaria
eo,Unuvalenta operacio
fa,عمل یگانی
fr,Opération unaire
ko,단항연산
id,Operasi uner
it,Operazione unaria
he,פעולה אונארית
mk,Унарна операција
nl,Unaire operatie
ja,単項演算
nn,Unær operasjon
pl,Działanie jednoargumentowe
pt,Operação unária
ro,Operație unară
ru,Унарная операция
sl,Enočlena operacija
sr,Унарна операција
sv,Unär operator
tl,Operasyong isahan
ta,ஓருறுப்புச் செயலி
th,การดำเนินการเอกภาค
uk,Унарна операція
vi,Phép toán một ngôi
yue,一元運算
zh,一元運算
