Language,Title
en,Underlying set
ar,بنية جبرية
ca,Estructura algebraica
cs,Algebraická struktura
de,Algebraische Struktur
et,Algebraline struktuur
el,Αλγεβρική δομή
es,Estructura algebraica
eo,Algebra strukturo
eu,Egitura aljebraiko
fa,ساختار جبری
fr,Structure algébrique
gl,Estrutura alxébrica
ko,대수 구조
hi,बीजगणितीय संरचना
id,Struktur aljabar
ia,Structura algebric
it,Struttura algebrica
he,מבנה אלגברי
lb,Algebresch Struktur
lt,Algebrinė struktūra
ml,ബീജീയഘടന
ms,Struktur algebra
nl,Algebraïsche structuur
ja,代数的構造
nb,Algebraisk struktur
nn,Algebraisk struktur
oc,Estructura algebrica
pms,Strutura algébrica
pl,Algebra ogólna
pt,Estrutura algébrica
ru,Алгебраическая структура
en-simple,Algebraic structure
sk,Algebrická štruktúra
sl,Algebrska struktura
ckb,پێکھاتەی جەبری
sr,Алгебарска структура
sh,Algebarska struktura
fi,Algebrallinen rakenne
sv,Algebraisk struktur
tl,Balarilang pampanandaan
uk,Алгебрична структура
vi,Cấu trúc đại số
yi,אלגעברעישע סטרוקטור
yue,代數結構
zh,代数结构
