Language,Title
en,Universal quantification
ca,Quantificador universal
cs,Obecný kvantifikátor
da,Alkvantor
de,Allaussage
et,Üldisuskvantor
es,Cuantificador universal
eo,Universala kvantizanto
fa,سور عمومی
ko,보편 양화사
hy,Ընդհանրության քվանտոր
id,Kuantifikasi semesta
it,Quantificatore universale (simbolo)
ky,Квантор жалпылыгы
hu,Univerzális kvantifikáció
nl,Universaliteit
ja,全称記号
pl,Kwantyfikator ogólny
pt,Quantificação universal
ru,Квантор всеобщности
en-simple,Universal quantifier
sk,Všeobecný kvantifikátor
fi,Universaalikvanttori
sv,Allkvantifikator
th,ตัวบ่งปริมาณสำหรับทุกตัว
uk,Квантор загальності
vi,Lượng từ với mọi
zh,全称量化
