Language,Title
en,Vector field
af,Vektorveld
ar,حقل متجهات
be,Вектарнае поле
bg,Векторно поле
bs,Vektorsko polje
ca,Camp vectorial
cv,Векторлă уй
cs,Vektorové pole
de,Vektorfeld
et,Vektorväli
es,Campo vectorial
eo,Vektora kampo
eu,Bektore-eremua
fa,میدان برداری
fr,Champ de vecteurs
ko,벡터장
hy,Վեկտորական դաշտ
hi,सदिश क्षेत्र
hr,Vektorsko polje
io,Vektorofeldo
is,Vigursvið
it,Campo vettoriale
he,שדה וקטורי
kk,Векторлық өріс
ky,Вектордук талаа
lt,Vektorinis laukas
hu,Vektormező
mn,Вектор орон
nl,Vectorveld
ja,ベクトル場
nb,Vektorfelt
nn,Vektorfelt
uz,Vektor maydon
pa,ਵੈਕਟਰ ਫੀਲਡ
pnb,ویکٹر فیلڈ
ps,لوری ميدان
pl,Pole wektorowe
pt,Campo vetorial
ro,Câmp vectorial
ru,Векторное поле
sq,Fusha vektoriale
en-simple,Vector field
sk,Vektorové pole
sl,Vektorsko polje
sh,Vektorsko polje
fi,Vektorikenttä
sv,Vektorfält
tr,Vektör alanı
uk,Векторне поле
ur,سمتیہ میدان
vi,Trường vectơ
zh,向量場
