Language,Title
en,Vector space
af,Vektorruimte
ar,فضاء متجهي
ast,Espaciu vectorial
bn,সদিক রাশির বীজগণিত
nan,Hiòng-liōng khong-kan
ba,Векторлы арауыҡ
be,Вектарная прастора
bh,वेक्टर स्पेस
bg,Линейно пространство
bs,Vektorski prostor
ca,Espai vectorial
cv,Векторла уçлăх
cs,Vektorový prostor
cy,Gofod fector
da,Vektorrum
de,Vektorraum
et,Vektorruum
el,Διανυσματικός χώρος
es,Espacio vectorial
eo,Vektora spaco
eu,Bektore espazio
fa,فضای برداری
fr,Espace vectoriel
ga,Spás veicteoireach
gl,Espazo vectorial
ko,벡터 공간
hy,Վեկտորական տարածություն
hi,सदिश बीजगणित
hr,Vektorski prostor
id,Ruang vektor
ia,Spatio vectorial
is,Vigurrúm
it,Spazio vettoriale
he,מרחב וקטורי
ky,Вектордук мейкиндик
lo,ເວັກເຕີ
la,Spatium vectoriale
lv,Vektoru telpa
lt,Vektorinė erdvė
lmo,Spazzi vettorial
hu,Vektortér
mk,Векторски простор
ml,സദിശസമഷ്ടി
ms,Ruang vektor
nl,Vectorruimte
ja,ベクトル空間
nb,Vektorrom
nn,Vektorrom
pa,ਵੈਕਟਰ ਸਪੇਸ
pnb,ویکٹر سپیس
pms,Spassi vetorial
pl,Przestrzeń liniowa
pt,Espaço vetorial
ro,Spațiu vectorial
ru,Векторное пространство
scn,Spazziu vitturiali
en-simple,Vector space
sk,Vektorový priestor
sl,Vektorski prostor
ckb,بۆشاییی ئاڕاستەبڕەکان
sr,Векторски простор
sh,Vektorski prostor
fi,Vektoriavaruus
sv,Linjärt rum
tl,Espasyong bektor
ta,திசையன் வெளி
tr,Vektör uzayı
uk,Векторний простір
ur,سمتیہ مکاں
vec,Spasio vetorial
vi,Không gian vectơ
lzh,矢量空間
wuu,向量空间
yue,向量空間
zh,向量空间
