Language,Title
en,Wikipedia:Citation needed
ang,Wikipǣdia:Sēðung þurfed
ar,ويكيبيديا:بحاجة لمصدر
as,ৱিকিপিডিয়া:উদ্ধৃতিৰ প্ৰয়োজন
az,Vikipediya:İstinad tələb olunur
azb,ویکی‌پدیا:قایناق لازیم
bn,উইকিপিডিয়া:তথ্যসূত্র প্রয়োজন
bh,विकिपीडिया:प्रमाण जरूरी
cy,Wicipedia:Angen ffynhonnell
de,Wikipedia:Citation needed
fa,ویکی‌پدیا:نیازمند منبع
fr,Aide:Référence nécessaire
gl,Wikipedia:Cómpre referencia
gu,વિકિપીડિયા:Citation needed
ko,위키백과:출처 필요
hi,विकिपीडिया:उद्धरण आवश्यक
ig,Wikipedia:Tinye edensibịa
ilo,Wikipedia:Masapul a dakamaten
kn,ವಿಕಿಪೀಡಿಯ:Citation needed
kk,Уикипедия:Дереккөзі жоқ
lld,Wikipedia:Mancia na referënza
lo,ວິກິພີເດຍ:ຕ້ອງການອ້າງອີງ
lb,Wikipedia:Source
mk,Википедија:Се бара извор
ml,വിക്കിപീഡിയ:Citation needed
arz,ويكيبيديا:عايز مصدر
mnw,ဝဳကဳပဳဒဳယာ:Citation needed
my,ဝီကီပီးဒီးယား:ကိုးကားချက် လိုအပ်သည်
nl,Help:Referentie gewenst
ja,Wikipedia:「要出典」をクリックされた方へ
nb,Hjelp:Trenger referanse
or,ଉଇକିପିଡ଼ିଆ:ପ୍ରମାଣ ଦରକାର
ps,ويکيپېډيا:سرچينه پکارده
km,វិគីភីឌា:ត្រូវការអំណះអំណាង
sat,ᱣᱤᱠᱤᱯᱤᱰᱤᱭᱟ:ᱯᱷᱮᱰᱟᱛ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ
sco,Wikipedia:Citation needit
sq,Wikipedia:Citim i duhur
si,විකිපීඩියා:තහවුරු කිරීමක් අවශ්‍යයි
sd,وڪيپيڊيا:حوالو گھربل
sl,Wikipedija:Navedi vir
ta,விக்கிப்பீடியா:சான்று தேவை
shn,ဝီႇၶီႇၽီးတီးယႃး:Citation needed
th,วิกิพีเดีย:ต้องการอ้างอิง
ur,ویکیپیڈیا:حوالہ درکار
ts,Wikipedia:Kulaveka vumbhoni
zh,Wikipedia:来源请求
