Language,Title
en,Zero
af,0 (getal)
gsw,Null
am,0
ab,Аноль
ar,0 (عدد)
arc,0 (ܡܢܝܢܐ)
as,শূন্য
ast,Cero
gn,Mba'eve (papaha)
az,0
azb,۰ (سایی)
ban,0 (angka)
bn,০ (সংখ্যা)
nan,0
ba,0 (һан)
be,0 (лік)
be-tarask,Нуль
bg,Нула
bo,༠ (གྲངས་ཀ།)
bs,0 (broj)
ca,Zero
cs,Nula
sn,Chipasina
cy,0
da,0 (tal)
ary,0
de,Null
et,Null
el,0 (αριθμός)
myv,Чаво
es,Cero
eo,Nulo
eu,Zero
fa,صفر
fo,0 (tal)
fr,Zéro
fur,0 (numar)
gv,0 (earroo)
gl,Cero
inh,КӀолх
gu,૦ (શૂન્ય)
hak,0
xal,0
ko,0
ha,0 (alƙalami)
hy,0 (թիվ)
hi,शून्य
hr,Nula
io,Zero
ig,0 (Ónúọgụgụ)
id,0 (angka)
ia,0 (numero)
ik,Kisitchisaġvik
xh,Iqanda
zu,Iqanda(inombolo)
is,Núll
it,0 (numero)
he,0 (מספר)
kn,ಸೊನ್ನೆ
ka,0 (რიცხვი)
ks,0 (گرَٛنٛد)
kk,0 (сан)
rw,Ubusa
rn,Ubusa
sw,Sifuri
ht,0 (nonm)
ku,Sifir (hejmar)
ky,0
lbe,Ноль
la,0
lv,Nulle
lt,0 (skaičius)
li,Nól
ln,Libúngútulú
lg,Zeero
lmo,Nümar 0
hu,0 (szám)
mk,0 (број)
ml,പൂജ്യം
mr,० (संख्या)
xmf,ნული
ms,0 (nombor)
mni,꯰
cdo,0
my,၀
fj,Saiva
nl,0 (getal)
nds-NL,0 (getal)
new,शून्य
ja,0
nap,Zero
frr,Nol
nb,0 (tall)
nn,0
nov,Sero
oc,0 (nombre)
or,୦ (ସଂଖ୍ୟା)
uz,0 (son)
pa,ਸਿਫ਼ਰ
pnb,صفر
ps,۰
km,០
pl,0
pt,0 (número)
ro,0 (cifră)
qu,Ch'usaq yupay
ru,Ноль
sah,Нуул
sa,शून्यम् (सङ्ख्या)
sat,᱐
sco,0
nso,0 (nomoro)
sq,0 (numër)
scn,Zeru
en-simple,0
sk,0 (číslo)
sl,0
szl,0
so,0 (tiro)
ckb,٠ (ژمارە)
srn,Numro 0
sr,0 (број)
sh,0 (broj)
fi,0 (luku)
sv,0 (tal)
tl,0 (bilang)
ta,0 (எண்)
shi,0 (amḍan)
tt,0 (сан)
te,సున్న
th,0
tg,Сифр
tr,0 (sayı)
uk,0 (число)
ur,صفر (عدد)
vep,0 (lugu)
vi,0 (số)
wa,0
lzh,〇
vls,0 (getal)
war,0 (ihap)
wo,Tus
wuu,0
ts,Tandza
yi,0 (נומער)
yo,0 (nọ́mbà)
yue,0
zh,0
