Language,Title
en,Zeros and poles
ar,قطب (تحليل مركب)
ca,Pol (anàlisi complexa)
da,Pol (matematisk)
de,Polstelle
et,Poolus (kompleksmuutuja funktsiooniteooria)
el,Πόλος (μιγαδική ανάλυση)
es,Polo (análisis complejo)
eo,Poluso (kompleksa analitiko)
fa,قطب (آنالیز مختلط)
fr,Pôle (mathématiques)
ko,극점 (복소해석학)
it,Polo (analisi complessa)
he,קוטב (אנליזה מרוכבת)
lt,Polius (kompleksinė analizė)
hu,Pólus (komplex analízis)
nl,Pool (functietheorie)
ja,極 (複素解析)
nn,Pol i kompleks analyse
pl,Biegun (analiza zespolona)
pt,Polo (análise complexa)
ro,Pol (matematică)
ru,Полюс (комплексный анализ)
sl,Pol (kompleksna analiza)
sv,Pol (matematik)
tr,Kutup (karmaşık analiz)
uk,Полюс (комплексний аналіз)
zh,极点 (复分析)
