es,de,en
Conectiva lógica,Logische Verknüpfung,Logical connective
Base,Basis,Basis
Operación ternaria,Ternärer Operator,Ternary operation
Lógica de descripción,Beschreibungslogik,Description logic
Lista,Liste,List
Separador decimal,Dezimaltrennzeichen,Decimal point
Equivalencia de categorías,Äquivalenz,Equivalence of categories
Teorema de Swan,Satz von Serre und Swan,Swan's theorem
Distributividad,Distributivgesetz,Distributivity
Complemento a uno,Einerkomplement,Ones' complement
Intervalo,Intervall,Interval
Anillo conmutativo,Kommutativer Ring,Commutative ring
Geometría sintética,Synthetische Geometrie,Synthetic geometry
Límite de una función,Grenzwert,Limit of a function
Verdad lógica,Logische Wahrheit,Logical truth
Álgebra lineal,Lineare Algebra,Linear algebra
Módulo proyectivo,Projektiver Modul,Projective module
Razón,Vernunft,Reason
Negación lógica,Negation,Negation
Identidad,Identitätsgleichung,Identity
Geometría binacional,Birationale Äquivalenz,Birational geometry
Antinomia,Antinomie,Antinomy
Número natural,Natürliche Zahl,Natural number
Clausura algebraica,Algebraischer Abschluss,Algebraic closure
Referencia,Referenz,Reference
Lenguaje formal,Formale Sprache,Formal language
Clausura normal,Normaler Abschluss,Normal closure
Límite de una sucesión,Grenzwert,Limit of a sequence
Teorema del emparedado,Einschnürungssatz,Squeeze theorem
Aritmética modular,Modulo Rechnung,Modular arithmetic
Fibrado vectorial,Vektorbündel,Vector bundle
Sistema de ecuaciones lineales,Lineares Gleichungssystem,Systems of linear equations
Asociatividad,Assoziativgesetz,Associativity
Elemento neutro,Neutrales Element,Identity element
Fracción,Bruchrechnung,Fraction
Ángulo,Winkel,Angle
Notación posicional,Stellenwertsystem,Place value
Nichtkommutative algebraische Geometrie,Geometría algebraica no conmutativa,Noncommutative algebraic geometry
Elemento simétrico,Inverses Element,Invertible element
Sistema de numeración decimal,Dezimalsystem,Decimal fractions
Multiplicación,Multiplikation,Multiplication
Elemento absorbente,Absorbierendes Element,Absorbing element
Ideal,Ideal,Ring ideal
Disyunción lógica,Disjunktion,Disjunction
Forma indeterminada,Unbestimmter Ausdruck,Indeterminate form
Bicondicional,Bikonditional,Biconditional
Paradoja,Paradoxon,Paradox
División,Division,Division
Disyunción lógica,Disjunktion,Or
Hiperoperación,Hyper-Operator,Hyperoperation
Geometría discreta,Diskrete Geometrie,Discrete geometry
Valor de verdad,Wahrheitswert,Truth value
Sistema de numeración,Zahlensystem,Numeral system
Radical de un ideal,Radikal,Radical of an ideal
Decaimiento exponencial,Exponentieller Prozess,Exponential decay
Proposición analítica,Analytisches Urteil,Analytic proposition
Geometría analítica,Analytische Geometrie,Analytic geometry
Función,Funktion,Function
Conmutatividad,Kommutativgesetz,Commutativity
Distributividad,Distributivgesetz,Distributive property
